"","F074.IPC.VAR.Z.Z.C.M","F074.IPCSAE.VAR.Z.Z.C.M"
"englishTitle","Historical Headline CPI, monthly variation","Historical IPCSAE, monthly variation"
"frequency","MONTHLY","MONTHLY"
"observed","AVERAGED","AVERAGED"
"01-03-1928"," 0",NA
"01-04-1928"," 2",NA
"01-05-1928","3.9",NA
"01-06-1928","1.9",NA
"01-07-1928"," 0",NA
"01-08-1928"," 0",NA
"01-09-1928","7.4",NA
"01-10-1928","-5.2",NA
"01-11-1928"," 0",NA
"01-12-1928","-1.8",NA
"01-01-1929","-3.7",NA
"01-02-1929"," 0",NA
"01-03-1929"," 0",NA
"01-04-1929"," 0",NA
"01-05-1929","1.9",NA
"01-06-1929","3.8",NA
"01-07-1929"," 0",NA
"01-08-1929","1.8",NA
"01-09-1929","3.6",NA
"01-10-1929","-3.4",NA
"01-11-1929","1.8",NA
"01-12-1929","1.7",NA
"01-01-1930","-8.6",NA
"01-02-1930","-1.9",NA
"01-03-1930"," 0",NA
"01-04-1930","1.9",NA
"01-05-1930","1.9",NA
"01-06-1930","1.8",NA
"01-07-1930"," 0",NA
"01-08-1930"," 0",NA
"01-09-1930"," 0",NA
"01-10-1930","1.8",NA
"01-11-1930"," 0",NA
"01-12-1930","-1.8",NA
"01-01-1931","-3.6",NA
"01-02-1931","-3.8",NA
"01-03-1931"," 2",NA
"01-04-1931","-1.9",NA
"01-05-1931","3.9",NA
"01-06-1931","1.9",NA
"01-07-1931","1.8",NA
"01-08-1931"," 0",NA
"01-09-1931"," 0",NA
"01-10-1931","-1.8",NA
"01-11-1931"," 0",NA
"01-12-1931","1.8",NA
"01-01-1932","-10.9",NA
"01-02-1932"," 0",NA
"01-03-1932","4.1",NA
"01-04-1932"," 2",NA
"01-05-1932","3.8",NA
"01-06-1932","1.8",NA
"01-07-1932"," 0",NA
"01-08-1932","5.5",NA
"01-09-1932","12.1",NA
"01-10-1932","1.5",NA
"01-11-1932","1.5",NA
"01-12-1932","1.5",NA
"01-01-1933"," 0",NA
"01-02-1933"," 0",NA
"01-03-1933"," 0",NA
"01-04-1933","1.5",NA
"01-05-1933","2.9",NA
"01-06-1933","1.4",NA
"01-07-1933"," 0",NA
"01-08-1933","1.4",NA
"01-09-1933","1.4",NA
"01-10-1933","-1.4",NA
"01-11-1933","-2.7",NA
"01-12-1933"," 0",NA
"01-01-1934","-2.8",NA
"01-02-1934","-1.5",NA
"01-03-1934","1.5",NA
"01-04-1934","1.4",NA
"01-05-1934","1.4",NA
"01-06-1934"," 0",NA
"01-07-1934","1.4",NA
"01-08-1934","-1.4",NA
"01-09-1934","2.8",NA
"01-10-1934","-2.7",NA
"01-11-1934","2.8",NA
"01-12-1934","1.4",NA
"01-01-1935"," 0",NA
"01-02-1935","-4.1",NA
"01-03-1935"," 0",NA
"01-04-1935","1.4",NA
"01-05-1935"," 0",NA
"01-06-1935"," 0",NA
"01-07-1935","1.4",NA
"01-08-1935","-1.4",NA
"01-09-1935","1.4",NA
"01-10-1935"," 0",NA
"01-11-1935"," 0",NA
"01-12-1935"," 0",NA
"01-01-1936"," 0",NA
"01-02-1936","1.4",NA
"01-03-1936","1.3",NA
"01-04-1936","1.3",NA
"01-05-1936","2.6",NA
"01-06-1936","1.3",NA
"01-07-1936","1.3",NA
"01-08-1936"," 0",NA
"01-09-1936","1.2",NA
"01-10-1936","2.5",NA
"01-11-1936","-1.2",NA
"01-12-1936"," 0",NA
"01-01-1937"," 0",NA
"01-02-1937","-2.4",NA
"01-03-1937","3.7",NA
"01-04-1937","3.6",NA
"01-05-1937","2.3",NA
"01-06-1937","2.3",NA
"01-07-1937","1.1",NA
"01-08-1937","1.1",NA
"01-09-1937","1.1",NA
"01-10-1937"," 0",NA
"01-11-1937"," 0",NA
"01-12-1937","-3.2",NA
"01-01-1938","-1.1",NA
"01-02-1938"," 0",NA
"01-03-1938","1.1",NA
"01-04-1938","2.2",NA
"01-05-1938","2.2",NA
"01-06-1938"," 0",NA
"01-07-1938"," 0",NA
"01-08-1938","-1.1",NA
"01-09-1938","1.1",NA
"01-10-1938"," 0",NA
"01-11-1938"," 0",NA
"01-12-1938","-2.1",NA
"01-01-1939","-2.2",NA
"01-02-1939","-2.2",NA
"01-03-1939","2.3",NA
"01-04-1939","3.3",NA
"01-05-1939","1.1",NA
"01-06-1939"," 0",NA
"01-07-1939","-1.1",NA
"01-08-1939"," 0",NA
"01-09-1939","1.1",NA
"01-10-1939","3.2",NA
"01-11-1939","2.1",NA
"01-12-1939"," 0",NA
"01-01-1940","-3",NA
"01-02-1940","2.1",NA
"01-03-1940"," 1",NA
"01-04-1940"," 3",NA
"01-05-1940"," 1",NA
"01-06-1940","3.9",NA
"01-07-1940","-0.9",NA
"01-08-1940","1.9",NA
"01-09-1940","4.6",NA
"01-10-1940","0.9",NA
"01-11-1940","-1.8",NA
"01-12-1940","-3.6",NA
"01-01-1941"," 0",NA
"01-02-1941","1.8",NA
"01-03-1941","2.7",NA
"01-04-1941","1.8",NA
"01-05-1941","3.5",NA
"01-06-1941","1.7",NA
"01-07-1941","0.8",NA
"01-08-1941","1.6",NA
"01-09-1941","4.8",NA
"01-10-1941","1.5",NA
"01-11-1941","-0.8",NA
"01-12-1941","1.5",NA
"01-01-1942","0.8",NA
"01-02-1942","2.2",NA
"01-03-1942","4.3",NA
"01-04-1942","4.2",NA
"01-05-1942"," 2",NA
"01-06-1942","-0.7",NA
"01-07-1942","0.7",NA
"01-08-1942","3.3",NA
"01-09-1942","1.9",NA
"01-10-1942","3.5",NA
"01-11-1942"," 0",NA
"01-12-1942","0.8",NA
"01-01-1943","-1.7",NA
"01-02-1943","1.8",NA
"01-03-1943","1.2",NA
"01-04-1943","4.2",NA
"01-05-1943","2.3",NA
"01-06-1943","1.7",NA
"01-07-1943","-1.1",NA
"01-08-1943"," 0",NA
"01-09-1943","1.1",NA
"01-10-1943","0.5",NA
"01-11-1943","-0.5",NA
"01-12-1943","-1.6",NA
"01-01-1944","1.7",NA
"01-02-1944","-1.1",NA
"01-03-1944","1.7",NA
"01-04-1944","3.8",NA
"01-05-1944","2.6",NA
"01-06-1944","-1",NA
"01-07-1944","0.5",NA
"01-08-1944","2.6",NA
"01-09-1944"," 5",NA
"01-10-1944","4.2",NA
"01-11-1944"," 0",NA
"01-12-1944","-5.5",NA
"01-01-1945","-0.5",NA
"01-02-1945","0.5",NA
"01-03-1945"," 1",NA
"01-04-1945"," 1",NA
"01-05-1945","0.5",NA
"01-06-1945","0.9",NA
"01-07-1945"," 0",NA
"01-08-1945","0.9",NA
"01-09-1945","4.1",NA
"01-10-1945","3.1",NA
"01-11-1945","-5.2",NA
"01-12-1945","1.4",NA
"01-01-1946","1.4",NA
"01-02-1946","-0.9",NA
"01-03-1946","0.9",NA
"01-04-1946","2.2",NA
"01-05-1946","2.2",NA
"01-06-1946","3.4",NA
"01-07-1946","1.6",NA
"01-08-1946","3.2",NA
"01-09-1946","4.7",NA
"01-10-1946"," 3",NA
"01-11-1946","0.7",NA
"01-12-1946","4.3",NA
"01-01-1947","5.2",NA
"01-02-1947","-0.7",NA
"01-03-1947","4.6",NA
"01-04-1947","1.9",NA
"01-05-1947","2.8",NA
"01-06-1947","0.3",NA
"01-07-1947","1.8",NA
"01-08-1947","2.3",NA
"01-09-1947","1.2",NA
"01-10-1947","-0.6",NA
"01-11-1947"," 2",NA
"01-12-1947","0.3",NA
"01-01-1948","0.8",NA
"01-02-1948","2.2",NA
"01-03-1948","2.2",NA
"01-04-1948","1.6",NA
"01-05-1948","0.3",NA
"01-06-1948","0.8",NA
"01-07-1948","2.6",NA
"01-08-1948","2.8",NA
"01-09-1948","3.2",NA
"01-10-1948"," 0",NA
"01-11-1948","-0.7",NA
"01-12-1948"," 0",NA
"01-01-1949","2.4",NA
"01-02-1949","0.7",NA
"01-03-1949","1.4",NA
"01-04-1949","4.8",NA
"01-05-1949","1.1",NA
"01-06-1949","1.3",NA
"01-07-1949","0.2",NA
"01-08-1949","2.1",NA
"01-09-1949","0.4",NA
"01-10-1949","3.9",NA
"01-11-1949"," 1",NA
"01-12-1949","-0.4",NA
"01-01-1950"," 0",NA
"01-02-1950","-1.2",NA
"01-03-1950","1.8",NA
"01-04-1950","1.2",NA
"01-05-1950","1.2",NA
"01-06-1950","1.7",NA
"01-07-1950","1.9",NA
"01-08-1950","1.3",NA
"01-09-1950","0.5",NA
"01-10-1950","10.2",NA
"01-11-1950","-2.1",NA
"01-12-1950","-0.7",NA
"01-01-1951","-0.2",NA
"01-02-1951","2.2",NA
"01-03-1951","0.8",NA
"01-04-1951","0.7",NA
"01-05-1951","2.5",NA
"01-06-1951","2.1",NA
"01-07-1951","3.1",NA
"01-08-1951","5.2",NA
"01-09-1951","6.1",NA
"01-10-1951","1.6",NA
"01-11-1951","-3.2",NA
"01-12-1951","0.6",NA
"01-01-1952","0.3",NA
"01-02-1952","0.7",NA
"01-03-1952","1.9",NA
"01-04-1952","2.3",NA
"01-05-1952","5.5",NA
"01-06-1952","0.8",NA
"01-07-1952","2.7",NA
"01-08-1952","1.1",NA
"01-09-1952","3.5",NA
"01-10-1952","0.7",NA
"01-11-1952","-1",NA
"01-12-1952","-6.5",NA
"01-01-1953","4.5",NA
"01-02-1953","0.8",NA
"01-03-1953","0.4",NA
"01-04-1953","1.3",NA
"01-05-1953","2.2",NA
"01-06-1953","3.3",NA
"01-07-1953","7.2",NA
"01-08-1953","6.5",NA
"01-09-1953","9.1",NA
"01-10-1953","5.5",NA
"01-11-1953","4.2",NA
"01-12-1953","0.9",NA
"01-01-1954","4.6",NA
"01-02-1954","1.5",NA
"01-03-1954","7.4",NA
"01-04-1954","7.6",NA
"01-05-1954","3.3",NA
"01-06-1954","4.2",NA
"01-07-1954","4.7",NA
"01-08-1954","8.5",NA
"01-09-1954","3.2",NA
"01-10-1954","4.4",NA
"01-11-1954","3.6",NA
"01-12-1954","2.3",NA
"01-01-1955","3.4",NA
"01-02-1955","4.5",NA
"01-03-1955","6.4",NA
"01-04-1955","8.9",NA
"01-05-1955","4.7",NA
"01-06-1955","4.6",NA
"01-07-1955","2.2",NA
"01-08-1955","3.9",NA
"01-09-1955","7.7",NA
"01-10-1955"," 6",NA
"01-11-1955","6.1",NA
"01-12-1955","4.2",NA
"01-01-1956","3.6",NA
"01-02-1956"," 1",NA
"01-03-1956","1.3",NA
"01-04-1956","2.3",NA
"01-05-1956","2.1",NA
"01-06-1956","2.7",NA
"01-07-1956","2.6",NA
"01-08-1956","5.2",NA
"01-09-1956","7.2",NA
"01-10-1956","5.2",NA
"01-11-1956","-0.3",NA
"01-12-1956","-0.3",NA
"01-01-1957","-0.4",NA
"01-02-1957","0.4",NA
"01-03-1957","2.6",NA
"01-04-1957"," 5",NA
"01-05-1957","2.2",NA
"01-06-1957","3.7",NA
"01-07-1957","4.6",NA
"01-08-1957","2.6",NA
"01-09-1957","12.2",NA
"01-10-1957","-6.5",NA
"01-11-1957","-6.5",NA
"01-12-1957","-2.4",NA
"01-01-1958","3.1",NA
"01-02-1958","3.3",NA
"01-03-1958","2.8",NA
"01-04-1958","2.9",NA
"01-05-1958","2.6",NA
"01-06-1958","1.3",NA
"01-07-1958","1.2",NA
"01-08-1958","2.5",NA
"01-09-1958","2.3",NA
"01-10-1958","2.3",NA
"01-11-1958","2.6",NA
"01-12-1958","1.7",NA
"01-01-1959","3.2",NA
"01-02-1959","4.6",NA
"01-03-1959","4.7",NA
"01-04-1959","3.8",NA
"01-05-1959","3.2",NA
"01-06-1959","2.2",NA
"01-07-1959","4.2",NA
"01-08-1959","2.3",NA
"01-09-1959","1.4",NA
"01-10-1959","2.5",NA
"01-11-1959","-2.1",NA
"01-12-1959","-0.6",NA
"01-01-1960","1.3",NA
"01-02-1960","0.2",NA
"01-03-1960","0.5",NA
"01-04-1960","-0.9",NA
"01-05-1960","0.4",NA
"01-06-1960","-0.2",NA
"01-07-1960","2.4",NA
"01-08-1960","1.4",NA
"01-09-1960","1.1",NA
"01-10-1960","0.2",NA
"01-11-1960","-0.2",NA
"01-12-1960","-0.9",NA
"01-01-1961","1.8",NA
"01-02-1961","0.4",NA
"01-03-1961","0.7",NA
"01-04-1961","0.5",NA
"01-05-1961","0.7",NA
"01-06-1961","0.3",NA
"01-07-1961","1.3",NA
"01-08-1961","1.1",NA
"01-09-1961","1.3",NA
"01-10-1961","0.9",NA
"01-11-1961","-0.1",NA
"01-12-1961","0.2",NA
"01-01-1962","1.7",NA
"01-02-1962","0.9",NA
"01-03-1962","0.6",NA
"01-04-1962","0.1",NA
"01-05-1962","0.9",NA
"01-06-1962","1.4",NA
"01-07-1962","0.9",NA
"01-08-1962","1.4",NA
"01-09-1962","2.8",NA
"01-10-1962","6.4",NA
"01-11-1962","6.3",NA
"01-12-1962","1.6",NA
"01-01-1963","3.2",NA
"01-02-1963","5.8",NA
"01-03-1963","3.1",NA
"01-04-1963","2.5",NA
"01-05-1963","3.6",NA
"01-06-1963","1.6",NA
"01-07-1963","2.5",NA
"01-08-1963","2.9",NA
"01-09-1963","4.5",NA
"01-10-1963","1.4",NA
"01-11-1963","4.1",NA
"01-12-1963"," 3",NA
"01-01-1964","1.4",NA
"01-02-1964","9.8",NA
"01-03-1964","4.7",NA
"01-04-1964","2.8",NA
"01-05-1964"," 1",NA
"01-06-1964","2.2",NA
"01-07-1964","2.3",NA
"01-08-1964","2.5",NA
"01-09-1964","2.5",NA
"01-10-1964","3.4",NA
"01-11-1964","-1.1",NA
"01-12-1964","1.8",NA
"01-01-1965","1.2",NA
"01-02-1965","2.1",NA
"01-03-1965","3.6",NA
"01-04-1965","6.9",NA
"01-05-1965","1.8",NA
"01-06-1965","0.1",NA
"01-07-1965","0.6",NA
"01-08-1965","2.3",NA
"01-09-1965","0.9",NA
"01-10-1965","1.9",NA
"01-11-1965","1.7",NA
"01-12-1965","0.4",NA
"01-01-1966","2.6",NA
"01-02-1966","2.9",NA
"01-03-1966","2.3",NA
"01-04-1966","1.4",NA
"01-05-1966"," 1",NA
"01-06-1966"," 2",NA
"01-07-1966","2.2",NA
"01-08-1966","1.5",NA
"01-09-1966","3.5",NA
"01-10-1966","-0.3",NA
"01-11-1966","-1.4",NA
"01-12-1966","-1.7",NA
"01-01-1967","2.8",NA
"01-02-1967","2.7",NA
"01-03-1967","1.8",NA
"01-04-1967"," 2",NA
"01-05-1967","2.2",NA
"01-06-1967","2.3",NA
"01-07-1967","2.3",NA
"01-08-1967","0.1",NA
"01-09-1967","2.8",NA
"01-10-1967","0.8",NA
"01-11-1967","0.1",NA
"01-12-1967","0.1",NA
"01-01-1968","5.7",NA
"01-02-1968","2.7",NA
"01-03-1968","1.5",NA
"01-04-1968","2.5",NA
"01-05-1968","2.3",NA
"01-06-1968"," 3",NA
"01-07-1968","2.8",NA
"01-08-1968","1.2",NA
"01-09-1968","1.2",NA
"01-10-1968","1.4",NA
"01-11-1968","1.3",NA
"01-12-1968","-0.4",NA
"01-01-1969","4.9",NA
"01-02-1969","5.4",NA
"01-03-1969","3.1",NA
"01-04-1969","3.1",NA
"01-05-1969","2.6",NA
"01-06-1969","2.3",NA
"01-07-1969","1.2",NA
"01-08-1969","1.5",NA
"01-09-1969","0.5",NA
"01-10-1969","0.4",NA
"01-11-1969","0.8",NA
"01-12-1969","0.3",NA
"01-01-1970","6.8",NA
"01-02-1970","5.1",NA
"01-03-1970","3.5",NA
"01-04-1970","2.4",NA
"01-05-1970","2.1",NA
"01-06-1970"," 2",NA
"01-07-1970","1.9",NA
"01-08-1970","2.5",NA
"01-09-1970","2.7",NA
"01-10-1970","0.9",NA
"01-11-1970","0.6",NA
"01-12-1970"," 0",NA
"01-01-1971","1.4",NA
"01-02-1971","0.7",NA
"01-03-1971","1.2",NA
"01-04-1971","2.5",NA
"01-05-1971","2.8",NA
"01-06-1971"," 2",NA
"01-07-1971","0.3",NA
"01-08-1971","1.1",NA
"01-09-1971","1.1",NA
"01-10-1971","1.7",NA
"01-11-1971","2.7",NA
"01-12-1971","2.8",NA
"01-01-1972","3.7",NA
"01-02-1972","6.5",NA
"01-03-1972","2.7",NA
"01-04-1972","5.7",NA
"01-05-1972","4.3",NA
"01-06-1972","2.1",NA
"01-07-1972","4.5",NA
"01-08-1972","22.7",NA
"01-09-1972","22.2",NA
"01-10-1972","15.2",NA
"01-11-1972","5.6",NA
"01-12-1972","8.3",NA
"01-01-1973","10.3",NA
"01-02-1973","4.1",NA
"01-03-1973","6.2",NA
"01-04-1973","10.2",NA
"01-05-1973","19.4",NA
"01-06-1973","15.7",NA
"01-07-1973","15.3",NA
"01-08-1973","17.1",NA
"01-09-1973","16.9",NA
"01-10-1973","87.6",NA
"01-11-1973","5.7",NA
"01-12-1973","4.7",NA
"01-01-1974","14.1",NA
"01-02-1974","24.5",NA
"01-03-1974","14.2",NA
"01-04-1974","15.3",NA
"01-05-1974","8.7",NA
"01-06-1974","20.8",NA
"01-07-1974","11.5",NA
"01-08-1974","10.9",NA
"01-09-1974","12.8",NA
"01-10-1974","18.9",NA
"01-11-1974","9.7",NA
"01-12-1974","6.5",NA
"01-01-1975","13.9",NA
"01-02-1975","16.5",NA
"01-03-1975","21.2",NA
"01-04-1975","20.8",NA
"01-05-1975","16",NA
"01-06-1975","19.8",NA
"01-07-1975","9.3",NA
"01-08-1975","8.9",NA
"01-09-1975","9.2",NA
"01-10-1975","8.4",NA
"01-11-1975","8.2",NA
"01-12-1975","7.1",NA
"01-01-1976","10.5",NA
"01-02-1976","10.1",NA
"01-03-1976","13.5",NA
